critics_name,critics_cn,movie_name,movie_dir,movie_genre,movie_year,dir_country_cleaned,imdb_score_cleaned
Simon Abrams ,US,In the Mood for Love,Wong Kar-wai,"Drama, Romance",2000,China,8.1
Simon Abrams ,US,Yi Yi: A One and a Two,Edward Yang,"Drama, Romance",2000,China,8.1
Simon Abrams ,US,The White Meadows,Mohammad Rasoulof,Drama,2009,Iran,7.7
Simon Abrams ,US,Certified Copy,Abbas Kiarostami,Drama,2010,Iran,7.3
Simon Abrams ,US,Sparrow,Johnnie To,"Drama, Romance",2008,China,6.7
Sam Adams ,US,In the Mood for Love,Wong Kar-wai,"Drama, Romance",2000,China,8.1
Sam Adams ,US,Syndromes and a Century,Apichatpong Weerasethakul,Drama,2006,Thailand,7.5
Sam Adams ,US,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6
Sam Adams ,US,Certified Copy,Abbas Kiarostami,Drama,2010,Iran,7.3
Sam Adams ,US,The World,Jia Zhangke,Drama,2004,China,7.1
Arturo Aguilar ,Mexico,In the Mood for Love,Wong Kar-wai,"Drama, Romance",2000,China,8.1
Tim Appelo ,US,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6
Tim Appelo ,US,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3
Tim Appelo ,US,Hero,Zhang Yimou,"Action, Adventure, History",2002,China,7.9
Tim Appelo ,US,Mother,Bong Joon-ho,"Drama, Horror, Mystery",2009,South Korea,6.7
Michael Arbeiter ,US,The Congress,Ari Folman,"Animation, Drama, Sci-Fi",2013,Israel,6.5
Ali Arikan ,Turkey,Once Upon a Time in Anatolia,Nuri Bilge Ceylan,"Crime, Drama",2011,Turkey,7.8
Ali Arikan ,Turkey,In the Mood for Love,Wong Kar-wai,"Drama, Romance",2000,China,8.1
Michael Atkinson ,US,Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,"Drama, Fantasy",2010,Thailand,6.6
Michael Atkinson ,US,2046,Wong Kar-wai,"Drama, Romance, Sci-Fi",2004,China,7.5
Ana Maria ,Brazil,Brokeback Mountain,Ang Lee,"Drama, Romance",2005,Taiwan,7.7
Cameron Bailey ,Canada,In the Mood for Love,Wong Kar-wai,"Drama, Romance",2000,China,8.1
Cameron Bailey ,Canada,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6
Lindsay Baker ,UK,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6
Nicholas Barber ,UK,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3
Diego Batlle ,Argentina,In the Mood for Love,Wong Kar-wai,"Drama, Romance",2000,China,8.1
Diego Batlle ,Argentina,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6
