critics_name,critics_cn,movie_name,movie_dir,movie_genre,movie_year,dir_country_cleaned,imdb_score_cleaned,douban_score
Michael Atkinson ,US,2046,Wong Kar-wai,"Drama, Romance, Sci-Fi",2004,China,7.5,7.5
Alyssa Rosenberg ,US,2046,Wong Kar-wai,"Drama, Romance, Sci-Fi",2004,China,7.5,7.5
Mario Espinosa ,Cuba,3-Iron,Kim Ki-duk,"Crime, Drama, Romance",2004,South Korea,8.1,8.0
E Nina ,Italy,A Borrowed Identity,Eran Riklis,Drama,2014,Israel,7.2,
Tim Appelo ,US,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3,8.7
Nicholas Barber ,UK,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3,8.7
Lizelle Bisschoff ,UK,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3,8.7
Utpal Borpujari ,India,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3,8.7
Luke Buckmaster ,Australia,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3,8.7
Samuel Castro ,Colombia,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3,8.7
Enrico Chiesa ,Senegal,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3,8.7
Juan Carlos ,Colombia,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3,8.7
Tina Hassannia ,Canada,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3,8.7
Annette Insdorf ,US,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3,8.7
Uri Klein ,Israel,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3,8.7
Tomris Laffly ,US,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3,8.7
Rebecca Laurence ,UK,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3,8.7
Maggie Lee ,US,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3,8.7
Ben Mankiewicz ,US,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3,8.7
Lee Marshall ,Italy,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3,8.7
Farran Smith ,US,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3,8.7
Susanne Ostwald ,Switzerland,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3,8.7
Zakir Hossein ,Bangladesh,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3,8.7
Mauricio Reina ,Colombia,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3,8.7
Rene Rodriguez ,US,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3,8.7
Eric Sasono ,Indonesia,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3,8.7
Matt Zoller ,US,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3,8.7
David Stratton ,Australia,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3,8.7
Scott Tobias ,US,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3,8.7
Rahul Verma ,UK,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3,8.7
Stephen Whitty ,US,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3,8.7
Raymond Zhou ,China,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3,8.7
Stephen Teo ,Singapore,A Tale of Two Sisters,Kim Jee-woon,"Drama, Horror, Mystery",2003,South Korea,7.2,7.1
Butheina Kazim ,UAE,A Time for Drunken Horses,Bahman Ghobadi,"Drama, War",2000,Iran,7.7,8.2
NT Binh ,France,A Touch of Sin,Jia Zhangke,"Action, Drama",2013,China,7.1,7.9
Antoine Guillot ,France,A Touch of Sin,Jia Zhangke,"Action, Drama",2013,China,7.1,7.9
