movie_dir,dir_cn
Jia Zhangke,
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
Andrew Stanton and Lee Unkrich,"Born: December 3, 1965 in Boston, Massachusetts, USA"
Zhang Yimou,"Born: November 14, 1951 in Xi'an, Shaanxi, China"
Danièle Huillet and Jean-Marie Straub,"Born: May 1, 1936 in Paris, France"
Pippo Delbono,
Marco De Angelis and Antonio Di Trapani,
Yervant Gianikian and Angela Ricci Lucchi,"Born: 1942 in Merano, Trentino-Alto Adige, Italy"
Rick Alverson,
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
"Paris, 1871) (Peter Watkins",
Fernando Meirelles and Kátia Lund,"Born: November 9, 1955 in São Paulo, São Paulo, Brazil"
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
Evan Goldberg and Seth Rogen,
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
Duke Johnson and Charlie Kaufman,"Born: March 20, 1979 in St. Louis, Missouri, USA"
"Eric Darnell, Tom McGrath and Conrad Vernon",
Hou Hsiao-hsien,"Born: April 8, 1947 in Meixian, Guangdong, China"
Jia Zhangke,
Ousmane,
Pacho Velez and Stephanie Spray,
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
Jihan El-Tahri,
Bazi Gete,
Andrew Dosunmu,
Khalo Matabane,
Jean-Pierre and Luc Dardenne,"Born: January 5, 1911 in Paris, France"
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
Raam Reddy,
Josephine Decker,
Josh and Benny Safdie,"Born: February 12, 1968 in Santa Monica, California, USA"
Sara Fattahi,"Born: October 14, 1986 in Espoo, Finland"
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
Jean-Pierre and Luc Dardenne,"Born: January 5, 1911 in Paris, France"
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
Jennifer Kent,
Kim Ki-duk,"Born: December 20, 1960 in Bonghwa, South Korea"
Fernando Meirelles and Kátia Lund,"Born: November 9, 1955 in São Paulo, São Paulo, Brazil"
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
Vincent Paronnaud and Marjane Satrapi,"Born: 1970 in La Rochelle, Charente-Maritime, France"
Brad Bird and Jan Pinkava,
Jean-Pierre and Luc Dardenne,"Born: January 5, 1911 in Paris, France"
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
Fernando Meirelles and Kátia Lund,"Born: November 9, 1955 in São Paulo, São Paulo, Brazil"
Kim Ki-duk,"Born: June 20, 1980 in Cape Town, South Africa"
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
Jørgen Leth and Lars von Trier,
Khalo Matabane,
Judy Kibinge,
Samba Gadjigo and Jason Silverman,
Emad Burnat and Guy Davidi,
Nanfu Wang,
"Boo Junfeng, Eric Khoo, Jack Neo, K. Rajagopal, Tan Pin Pin, Royston Tan and Kelvin Tong","Born: December 4, 1983 in Singapore"
David France,"Born: September 4, 1973 in Covina, California, USA"
Robert Pulcini and Shari Springer Berman,"Born: August 24, 1964 in New York City, New York, USA"
Jacob Krupnick,"Born: May 28, 1995 in New York City, New York, USA"
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
Kim Ki-duk,"Born: December 20, 1960 in Bonghwa, South Korea"
Jia Zhangke,
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
Chris Buck and Jennifer Lee,"Born: February 24, 1958 in Wichita, Kansas, USA"
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
Jia Zhangke,
John Gianvito,
David Michôd,"Born: October 28, 1982 in Chicago, Illinois, USA"
Stevan Riley,
Mojtaba Mirtahmasb and Jafar Panahi,
Béla Tarr and Ágnes Hranitzky,
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
Béla Tarr and Ágnes Hranitzky,
Béla Tarr and Ágnes Hranitzky,
Wang Bing,
Jia Zhangke,
Lewis Klahr,
What a Life!) (Ernie Gehr,
Jia Zhangke,
Chaitanya Tamhane,
Tigmanshu Dhulia,
Sudhir Mishra,
Vishal Bhardwaj,
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
Tsai Ming-liang,"Born: October 27, 1957 in Kuching, Sarawak, Malaysia"
Hou Hsiao-hsien,"Born: April 8, 1947 in Meixian, Guangdong, China"
Gabriela Pichler,
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
J. J. Abrams,"Born: June 27, 1966 in New York City, New York, USA"
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
Andrew Stanton and Lee Unkrich,"Born: December 3, 1965 in Boston, Massachusetts, USA"
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
Scandar Copti and Yaron Shani,"Born: 1975 in Jaffa, Tel Aviv, Israel"
Zhang Yimou,"Born: February 9, 1979 in Beijing, China"
Shimit Amin,
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
Vishal Bhardwaj,
Zhang Yimou,"Born: November 14, 1951 in Xi'an, Shaanxi, China"
Béla Tarr and Ágnes Hranitzky,
Kelly Reichardt,
Hou Hsiao-hsien,"Born: April 8, 1947 in Meixian, Guangdong, China"
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
Jean-Pierre and Luc Dardenne,"Born: January 5, 1911 in Paris, France"
Jia Zhangke,
Naji Abou Nowar,
James Marsch,
Fernando Meirelles and Kátia Lund,"Born: November 9, 1955 in São Paulo, São Paulo, Brazil"
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
David Michôd,
Jeff Tremaine,
Tsai Ming-liang,"Born: October 27, 1957 in Kuching, Sarawak, Malaysia"
Jean-Pierre and Luc Dardenne,"Born: January 5, 1911 in Paris, France"
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
Brad Bird and Jan Pinkava,"Born: September 24, 1957 in Kalispell, Montana, USA"
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
Hou Hsiao-hsien,"Born: April 8, 1947 in Meixian, Guangdong, China"
Kelly Reichardt,
Kim Ki-duk,"Born: December 20, 1960 in Bonghwa, South Korea"
Jean-Pierre and Luc Dardenne,"Born: September 3, 1953 in Roanne, Loire, Rhône-Alpes, France"
Hou Hsiao-hsien,"Born: April 8, 1947 in Meixian, Guangdong, China"
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
Nouri Bouzid,
Zhang Yimou,"Born: November 14, 1951 in Xi'an, Shaanxi, China"
Fernando Meirelles and Kátia Lund,"Born: November 9, 1955 in São Paulo, São Paulo, Brazil"
Rehad Desai,
Mohamed Diab,
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
Dror Moreh,
Hou Hsiao-hsien,"Born: April 8, 1947 in Meixian, Guangdong, China"
Mark Neveldine and Brian Taylor,"Born: May 11, 1973 in Watertown, New York, USA"
Jean-Pierre and Luc Dardenne,"Born: January 5, 1911 in Paris, France"
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
Rita Azevedo Gomes,
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
Hou Hsiao-hsien,"Born: April 8, 1947 in Meixian, Guangdong, China"
Fernando Meirelles and Kátia Lund,"Born: November 9, 1955 in São Paulo, São Paulo, Brazil"
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
Béla Tarr and Ágnes Hranitzky,
André Singer,
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
Bart Layton,
Rick Alverson,
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
Joel and Ethan Coen,"Born: February 24, 1951 in Glendale, California, USA"
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
Brad Bird and Jan Pinkava,"Born: September 24, 1957 in Kalispell, Montana, USA"
Luke Fowler,
Kim Ki-duk,"Born: December 20, 1960 in Bonghwa, South Korea"
Béla Tarr and Ágnes Hranitzky,
Ben Rivers,
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
Wang Bing,
Jia Zhangke,
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
Jennifer Kent,
James Marsch,
Andrew Stanton and Lee Unkrich,"Born: December 3, 1965 in Boston, Massachusetts, USA"
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
Vincent Paronnaud and Marjane Satrapi,"Born: 1970 in La Rochelle, Charente-Maritime, France"
Fernando Meirelles and Kátia Lund,"Born: November 9, 1955 in São Paulo, São Paulo, Brazil"
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
Fernando Meirelles and Kátia Lund,"Born: November 9, 1955 in São Paulo, São Paulo, Brazil"
Béla Tarr and Ágnes Hranitzky,
"Pete Docter, David Silverman and Lee Unkrich","Born: October 9, 1968 in Bloomington, Minnesota, USA"
Clio Barnard,
Christian Marclay,
Tsai Ming-liang,"Born: October 27, 1957 in Kuching, Sarawak, Malaysia"
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
Andrew Lau and Alan Mak,"Born: June 19, 1965 in Santa Monica, California, USA"
Andrew Adamson and Vicky Jenson,"Born: December 1, 1966 in Auckland, New Zealand"
Béla Tarr and Ágnes Hranitzky,
Mani Haghighi,
Jia Zhangke,
Mohamed Soueid,
Karim Aïnouz and Marcelo Gomes,"Born: May 26, 1976 in Helsingborg, Skåne län, Sweden"
Béla Tarr and Ágnes Hranitzky,
Lucien Castaing-Taylor and Verena Paravel,"Born: July 17, 1951 in Hollywood, Los Angeles, California, USA"
Hou Hsiao-hsien,"Born: April 8, 1947 in Meixian, Guangdong, China"
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
Ronit Elkabetz and Shlomi Elkabetz,"Born: November 27, 1964 in Beersheba, Israel"
Vincent Paronnaud and Marjane Satrapi,"Born: 1970 in La Rochelle, Charente-Maritime, France"
Jia Zhangke,
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
Warwick Thornton,
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
Patrick Wang,
Béla Tarr and Ágnes Hranitzky,
Tsai Ming-liang,"Born: October 27, 1957 in Kuching, Sarawak, Malaysia"
Brad Bird and Jan Pinkava,
Hou Hsiao-hsien,"Born: April 8, 1947 in Meixian, Guangdong, China"
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
Jia Zhangke,
Kelly Reichardt,
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
Anthony and Joe Russo,
J. J. Abrams,"Born: June 27, 1966 in New York City, New York, USA"
Fernando Meirelles and Kátia Lund,"Born: January 9, 1915 in Buenos Aires, Argentina"
Hou Hsiao-hsien,"Born: April 8, 1947 in Meixian, Guangdong, China"
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
Joel and Ethan Coen,"Born: Calgary, Alberta, Canada"
Tsai Ming-liang,"Born: October 27, 1957 in Kuching, Sarawak, Malaysia"
Kim Ki-duk,"Born: June 20, 1980 in Cape Town, South Africa"
Jia Zhangke,
Andrew Lau and Alan Mak,"Born: June 19, 1965 in Santa Monica, California, USA"
Fernando Meirelles and Kátia Lund,"Born: November 9, 1955 in São Paulo, São Paulo, Brazil"
